metric_id,strategy_id,window_id,a4e_value,a4f_value,difference,tolerance,status,notes
net_cagr,GLOBAL_100,FULL_COMMON_HISTORY,0.11601083229325537,0.11601083229325537,0.0,1e-10,PASS,Independent rerun through immutable A4D/A4E engine
maximum_drawdown,GLOBAL_100,FULL_COMMON_HISTORY,-0.2558185599683075,-0.2558185599683075,0.0,1e-10,PASS,Independent rerun through immutable A4D/A4E engine
ulcer_index,GLOBAL_100,FULL_COMMON_HISTORY,0.04890992072479275,0.04890992072479278,2.7755575615628914e-17,1e-10,PASS,Independent rerun through immutable A4D/A4E engine
net_cagr,GLOBAL_75_CASH25,FULL_COMMON_HISTORY,0.0926320318380296,0.0926320318380296,0.0,1e-10,PASS,Independent rerun through immutable A4D/A4E engine
maximum_drawdown,GLOBAL_75_CASH25,FULL_COMMON_HISTORY,-0.19551631373842515,-0.19551631373842515,0.0,1e-10,PASS,Independent rerun through immutable A4D/A4E engine
ulcer_index,GLOBAL_75_CASH25,FULL_COMMON_HISTORY,0.0359925415591835,0.0359925415591835,0.0,1e-10,PASS,Independent rerun through immutable A4D/A4E engine
net_cagr,M2_TOP7_CASH0_100,FULL_COMMON_HISTORY,0.13137626091488874,0.13137626091488874,0.0,1e-10,PASS,Independent rerun through immutable A4D/A4E engine
maximum_drawdown,M2_TOP7_CASH0_100,FULL_COMMON_HISTORY,-0.23530833565375164,-0.23530833565375164,0.0,1e-10,PASS,Independent rerun through immutable A4D/A4E engine
ulcer_index,M2_TOP7_CASH0_100,FULL_COMMON_HISTORY,0.08198040131578595,0.08198040131578595,0.0,1e-10,PASS,Independent rerun through immutable A4D/A4E engine
annual_turnover_traded_notional,M2_TOP7_CASH0_100,FULL_COMMON_HISTORY,5.523060844665003,5.523060844665003,0.0,1e-10,PASS,Independent rerun through immutable A4D/A4E engine
net_cagr,M2_TOP7_CASH1_100,FULL_COMMON_HISTORY,0.09529026240309668,0.09529026240309668,0.0,1e-10,PASS,Independent rerun through immutable A4D/A4E engine
maximum_drawdown,M2_TOP7_CASH1_100,FULL_COMMON_HISTORY,-0.2715740690405678,-0.2715740690405678,0.0,1e-10,PASS,Independent rerun through immutable A4D/A4E engine
ulcer_index,M2_TOP7_CASH1_100,FULL_COMMON_HISTORY,0.08315515385099306,0.08315515385099306,0.0,1e-10,PASS,Independent rerun through immutable A4D/A4E engine
net_cagr,M2_TOP7_CASH0_100|BASE,FULL_COMMON_HISTORY,0.1313762609148887,0.13137626091488874,5.551115123125783e-17,1e-10,PASS,A4E TOP7 CASH0 base/double and common-window reproduction
maximum_drawdown,M2_TOP7_CASH0_100|BASE,FULL_COMMON_HISTORY,-0.2353083356537516,-0.23530833565375164,-5.551115123125783e-17,1e-10,PASS,A4E TOP7 CASH0 base/double and common-window reproduction
ulcer_index,M2_TOP7_CASH0_100|BASE,FULL_COMMON_HISTORY,0.0819804013157859,0.08198040131578595,4.163336342344337e-17,1e-10,PASS,A4E TOP7 CASH0 base/double and common-window reproduction
annual_turnover_traded_notional,M2_TOP7_CASH0_100|BASE,FULL_COMMON_HISTORY,5.523060844665003,5.523060844665003,0.0,1e-10,PASS,A4E TOP7 CASH0 base/double and common-window reproduction
net_cagr,M2_TOP7_CASH0_100|BASE,PRE_2020,0.0375748744030188,0.037574874403018876,7.632783294297951e-17,1e-10,PASS,A4E TOP7 CASH0 base/double and common-window reproduction
maximum_drawdown,M2_TOP7_CASH0_100|BASE,PRE_2020,-0.1390776808710639,-0.13907768087106398,-8.326672684688674e-17,1e-10,PASS,A4E TOP7 CASH0 base/double and common-window reproduction
ulcer_index,M2_TOP7_CASH0_100|BASE,PRE_2020,0.0471362285370055,0.04713622853700552,2.0816681711721685e-17,1e-10,PASS,A4E TOP7 CASH0 base/double and common-window reproduction
annual_turnover_traded_notional,M2_TOP7_CASH0_100|BASE,PRE_2020,3.3897873969622623,3.3897873969622623,0.0,1e-10,PASS,A4E TOP7 CASH0 base/double and common-window reproduction
net_cagr,M2_TOP7_CASH0_100|BASE,POST_2020,0.1725326066381125,0.17253260663811254,2.7755575615628914e-17,1e-10,PASS,A4E TOP7 CASH0 base/double and common-window reproduction
maximum_drawdown,M2_TOP7_CASH0_100|BASE,POST_2020,-0.2353083356537516,-0.23530833565375164,-5.551115123125783e-17,1e-10,PASS,A4E TOP7 CASH0 base/double and common-window reproduction
ulcer_index,M2_TOP7_CASH0_100|BASE,POST_2020,0.0919561457579704,0.09195614575797048,8.326672684688674e-17,1e-10,PASS,A4E TOP7 CASH0 base/double and common-window reproduction
annual_turnover_traded_notional,M2_TOP7_CASH0_100|BASE,POST_2020,6.441519639424016,6.441519639424016,0.0,1e-10,PASS,A4E TOP7 CASH0 base/double and common-window reproduction
net_cagr,M2_TOP7_CASH0_100|BASE,LATEST_FIVE_YEARS,0.1362016350300385,0.13620163503003857,8.326672684688674e-17,1e-10,PASS,A4E TOP7 CASH0 base/double and common-window reproduction
maximum_drawdown,M2_TOP7_CASH0_100|BASE,LATEST_FIVE_YEARS,-0.223355533649714,-0.22335553364971406,-5.551115123125783e-17,1e-10,PASS,A4E TOP7 CASH0 base/double and common-window reproduction
ulcer_index,M2_TOP7_CASH0_100|BASE,LATEST_FIVE_YEARS,0.1013085008643458,0.10130850086434587,6.938893903907228e-17,1e-10,PASS,A4E TOP7 CASH0 base/double and common-window reproduction
annual_turnover_traded_notional,M2_TOP7_CASH0_100|BASE,LATEST_FIVE_YEARS,6.925927114696822,6.925927114696822,0.0,1e-10,PASS,A4E TOP7 CASH0 base/double and common-window reproduction
net_cagr,M2_TOP7_CASH0_100|BASE,LATEST_THREE_YEARS,0.2951189726727514,0.29511897267275145,5.551115123125783e-17,1e-10,PASS,A4E TOP7 CASH0 base/double and common-window reproduction
maximum_drawdown,M2_TOP7_CASH0_100|BASE,LATEST_THREE_YEARS,-0.1671889313361411,-0.1671889313361411,0.0,1e-10,PASS,A4E TOP7 CASH0 base/double and common-window reproduction
ulcer_index,M2_TOP7_CASH0_100|BASE,LATEST_THREE_YEARS,0.0495545125485439,0.0495545125485439,0.0,1e-10,PASS,A4E TOP7 CASH0 base/double and common-window reproduction
annual_turnover_traded_notional,M2_TOP7_CASH0_100|BASE,LATEST_THREE_YEARS,7.463225962565238,7.463225962565238,0.0,1e-10,PASS,A4E TOP7 CASH0 base/double and common-window reproduction
net_cagr,M2_TOP7_CASH0_100|DOUBLE,FULL_COMMON_HISTORY,0.1179867844399016,0.11798678443990163,2.7755575615628914e-17,1e-10,PASS,A4E TOP7 CASH0 base/double and common-window reproduction
maximum_drawdown,M2_TOP7_CASH0_100|DOUBLE,FULL_COMMON_HISTORY,-0.2373178886517247,-0.23731788865172476,-5.551115123125783e-17,1e-10,PASS,A4E TOP7 CASH0 base/double and common-window reproduction
