analysis_context_id,record_type,transition,previous_state,current_state,forward_horizon_sessions,family_observation_count,date_observation_count,mean_forward_return,mean_forward_relative_global,median_forward_relative_global,positive_relative_frequency,relative_hac_t_statistic,relative_hac_p_value,relative_ci_low,relative_ci_high,transition_known_at_signal_date,warning
ALL_EQUITY_OPPORTUNITIES,TRANSITION,IMPROVING->IMPROVING,IMPROVING,IMPROVING,5,4617,677,0.0024139051863525983,-0.0003168849574345062,-0.0007056247677144911,0.4771048744460857,-0.6061251369859975,0.5444316601075159,-0.0013415629750836708,0.0007077930602146585,YES,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
ALL_EQUITY_OPPORTUNITIES,TRANSITION,IMPROVING->IMPROVING,IMPROVING,IMPROVING,10,4607,676,0.005188142379482458,-0.00023547659647399995,-0.0007166132226386762,0.47928994082840237,-0.2727168740839946,0.7850708625800632,-0.0019278018324583534,0.0014568486395103537,YES,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
ALL_EQUITY_OPPORTUNITIES,TRANSITION,IMPROVING->IMPROVING,IMPROVING,IMPROVING,21,4594,672,0.009852533211447448,-0.0010155020405174207,-0.000893363698701792,0.47619047619047616,-0.6257534486865003,0.531476669656989,-0.004196223504888023,0.0021652194238531808,YES,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
ALL_EQUITY_OPPORTUNITIES,TRANSITION,IMPROVING->IMPROVING,IMPROVING,IMPROVING,42,4524,669,0.01741858383664294,-0.004436561058684399,-0.003962113550283286,0.4499252615844544,-1.5549553189008292,0.11995671104008658,-0.0100286830859469,0.001155560968578103,YES,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
ALL_EQUITY_OPPORTUNITIES,TRANSITION,IMPROVING->IMPROVING,IMPROVING,IMPROVING,63,4469,665,0.023755164112479663,-0.008154348787491321,-0.007893600608980195,0.42255639097744363,-2.1139157620042486,0.03452246274690945,-0.015714834511722713,-0.0005938630632599277,YES,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
ALL_EQUITY_OPPORTUNITIES,TRANSITION,IMPROVING->IMPROVING,IMPROVING,IMPROVING,126,4288,651,0.0462613063411615,-0.016778466559133492,-0.01680306586983571,0.3794162826420891,-2.4912125786356376,0.012730792445880115,-0.029978941883371604,-0.00357799123489538,YES,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
ALL_EQUITY_OPPORTUNITIES,TRANSITION,IMPROVING->LAGGING,IMPROVING,LAGGING,5,1776,592,0.003063970902878867,0.0006876630294513987,-0.00020009963455637492,0.4983108108108108,0.9483472103027163,0.342952724277232,-0.0007335408888837714,0.002108866947786569,YES,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
ALL_EQUITY_OPPORTUNITIES,TRANSITION,IMPROVING->LAGGING,IMPROVING,LAGGING,10,1776,590,0.005778962981987561,0.0009378331667093369,-0.0005172676610475009,0.48135593220338985,0.8748687134154706,0.3816453441510931,-0.0011631897662990535,0.003038856099717727,YES,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
ALL_EQUITY_OPPORTUNITIES,TRANSITION,IMPROVING->LAGGING,IMPROVING,LAGGING,21,1767,586,0.009733892282875854,-0.0013122975569692182,-0.002767704425678308,0.4590443686006826,-0.7755712578382385,0.4380021764978709,-0.004628634931085811,0.002004039817147375,YES,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
ALL_EQUITY_OPPORTUNITIES,TRANSITION,IMPROVING->LAGGING,IMPROVING,LAGGING,42,1736,583,0.017319241685763515,-0.004523727899739467,-0.005811129049947905,0.4288164665523156,-1.7638169389745864,0.07776280467520032,-0.009550521533155255,0.0005030657336763224,YES,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
