analysis_context_id,analysis_context_type,signal_id,top_tail_definition,forward_horizon_sessions,advantage_vs_global_observation_count,advantage_vs_global_mean,advantage_vs_global_median,advantage_vs_global_positive_frequency,advantage_vs_global_hac_p_value,advantage_vs_global_ci_low,advantage_vs_global_ci_high,peak_predictive_horizon,half_life_or_reversal_horizon_sessions,warning
ALL_EQUITY_OPPORTUNITIES,ALL_EQUITY,MH_LEVEL_EQ,RANK_1,5,652,-0.00034953042257541576,-3.701437506181682e-05,0.49846625766871167,0.7974646295229431,-0.0030190070457330243,0.0023199462005821926,NO,,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
ALL_EQUITY_OPPORTUNITIES,ALL_EQUITY,MH_LEVEL_EQ,RANK_1,10,651,-0.0015045343451548362,-0.0011542848179677545,0.48540706605222733,0.5065478652521953,-0.005944059935188455,0.0029349912448787827,NO,,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
ALL_EQUITY_OPPORTUNITIES,ALL_EQUITY,MH_LEVEL_EQ,RANK_1,21,650,-0.0020273992970198025,-0.0030377529723253915,0.4646153846153846,0.6128976987768217,-0.009881329824076147,0.005826531230036543,NO,,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
ALL_EQUITY_OPPORTUNITIES,ALL_EQUITY,MH_LEVEL_EQ,RANK_1,42,647,-0.003092677167237923,-0.005133125350692436,0.45131375579598143,0.6225470939840521,-0.015406773202651774,0.009221418868175927,NO,,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
ALL_EQUITY_OPPORTUNITIES,ALL_EQUITY,MH_LEVEL_EQ,RANK_1,63,640,-0.0010055831639686013,-0.012034543506658946,0.4328125,0.9088088484254094,-0.018212562727309162,0.016201396399371962,NO,,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
ALL_EQUITY_OPPORTUNITIES,ALL_EQUITY,MH_LEVEL_EQ,RANK_1,126,626,0.006073178096288209,-0.012452159819603625,0.4520766773162939,0.7283642884133295,-0.028200172015192728,0.04034652820776915,YES,,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
ALL_EQUITY_OPPORTUNITIES,ALL_EQUITY,MH_LEVEL_EQ,TOP_3,5,644,-0.00036907706222639113,1.7566994231277278e-05,0.5015527950310559,0.6748801331306477,-0.0020936231594371117,0.0013554690349843294,NO,,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
ALL_EQUITY_OPPORTUNITIES,ALL_EQUITY,MH_LEVEL_EQ,TOP_3,10,643,-0.0018001228972683234,-0.0018983702399669733,0.45878693623639194,0.23155363299476017,-0.004749199568510528,0.0011489537739738805,NO,,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
ALL_EQUITY_OPPORTUNITIES,ALL_EQUITY,MH_LEVEL_EQ,TOP_3,21,637,-0.0022358441754273947,-0.005538776184946914,0.43328100470957615,0.44024091362868456,-0.007913806017757046,0.003442117666902257,NO,,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
ALL_EQUITY_OPPORTUNITIES,ALL_EQUITY,MH_LEVEL_EQ,TOP_3,42,625,-0.0027082325735763115,-0.007975082072743556,0.4256,0.5513227969093867,-0.011617639034810633,0.00620117388765801,NO,,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
