result_scope,decision_count,probability_rank1_future_top_decile,probability_rank1_future_top_quintile,probability_rank1_beats_pool_median,probability_rank1_beats_global,probability_rank1_beats_equal_weight_family_pool,average_future_rank_of_rank1,average_future_percentile_of_rank1,mean_rank1_future_return,median_rank1_future_return,warning,record_type,signal_date,execution_date,subsequent_endpoint_date,eligible_with_valid_future_count,selected_family,rank1_future_return,rank1_future_rank,rank1_future_percentile,rank1_is_future_top_decile,rank1_is_future_top_quintile,rank1_beats_pool_median,rank1_beats_global,rank1_beats_equal_weight_family_pool,global_return,equal_weight_family_pool_return
NEXT_MONTHLY_EXECUTION_ENDPOINT,59.0,0.2033898305084746,0.3559322033898305,0.6101694915254238,0.5423728813559322,0.576271186440678,9.271186440677965,0.5680309335257534,0.02475517230877344,0.0277840780222276,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED",SUMMARY,,,,,,,,,,,,,,,
,,,,,,,,,,,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED",MONTHLY_DETAIL,2021-08-31,2021-09-01,2021-10-01,14.0,GLOBAL_CYBERSECURITY,-0.033066444837266507,7.0,0.5384615384615384,False,False,True,False,False,-0.02966841186736502,-0.008085829708043502
,,,,,,,,,,,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED",MONTHLY_DETAIL,2021-09-30,2021-10-01,2021-11-01,14.0,GLOBAL_OIL_GAS,0.09438725966207095,1.0,1.0,True,True,True,True,True,0.05134074558534918,0.058127357271263884
,,,,,,,,,,,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED",MONTHLY_DETAIL,2021-10-29,2021-11-01,2021-12-01,15.0,GLOBAL_OIL_GAS,-0.03602484472049716,12.0,0.2142857142857143,False,False,False,False,False,0.0183514774494562,-0.0021333217775754217
,,,,,,,,,,,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED",MONTHLY_DETAIL,2021-11-30,2021-12-01,2022-01-04,14.0,GLOBAL_SEMICONDUCTORS,-0.02904684860240847,12.0,0.15384615384615385,False,False,False,False,False,0.012981062919975805,-0.006014469084232287
,,,,,,,,,,,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED",MONTHLY_DETAIL,2021-12-31,2022-01-04,2022-02-01,14.0,GLOBAL_SEMICONDUCTORS,-0.10348779937673491,12.0,0.15384615384615385,False,False,False,False,False,-0.050505050505050275,-0.04740150703692338
,,,,,,,,,,,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED",MONTHLY_DETAIL,2022-01-31,2022-02-01,2022-03-01,15.0,GLOBAL_OIL_GAS,0.05144745122718675,4.0,0.7857142857142857,False,False,True,True,True,-0.03350269926960947,-0.012544887107526815
,,,,,,,,,,,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED",MONTHLY_DETAIL,2022-02-28,2022-03-01,2022-04-01,16.0,GLOBAL_OIL_GAS,0.11297321562172691,2.0,0.9333333333333333,False,True,True,True,True,0.061770987350090234,0.05495885819818923
,,,,,,,,,,,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED",MONTHLY_DETAIL,2022-03-31,2022-04-01,2022-05-03,16.0,GLOBAL_OIL_GAS,0.043022317827372314,1.0,1.0,True,True,True,True,True,-0.029862293052761557,-0.04407462406552637
,,,,,,,,,,,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED",MONTHLY_DETAIL,2022-04-29,2022-05-03,2022-06-01,15.0,GLOBAL_OIL_GAS,0.13392626965712773,1.0,1.0,True,True,True,True,True,-0.014673046251993838,-0.009002193091579392
,,,,,,,,,,,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED",MONTHLY_DETAIL,2022-05-31,2022-06-01,2022-07-01,15.0,GLOBAL_OIL_GAS,-0.18324428782539515,15.0,0.0,False,False,False,False,False,-0.04532211071544212,-0.05407486583680166
