module_id,review_date,execution_date,next_execution_or_cutoff,prior_active_family,new_active_family,strategic_active_weight,active_weight_immediately_before_rebalance,active_weight_transferred_to_core,subsequent_global_core_return,subsequent_frozen_active_return,active_profit_protected_from_subsequent_active_drawdown,foregone_active_upside,strategic_rebalance_monetisation_value,warning,record_type,rebalance_observations,active_to_core_transfer_events,aggregate_active_weight_transferred_to_core,aggregate_active_profit_protected,aggregate_foregone_active_upside
CORE_ACTIVE_25,2021-08-31,2021-09-01,2021-10-01,,GLOBAL_CYBERSECURITY,0.25,,0.0,0.0,0.0,0.0,0.0,0.0,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED",REBALANCE_DETAIL,,,,,
CORE_ACTIVE_25,2021-09-30,2021-10-01,2021-11-01,GLOBAL_CYBERSECURITY,GLOBAL_OIL_GAS,0.25,0.2493428128326738,0.0,0.0,0.0,0.0,0.0,0.0,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED",REBALANCE_DETAIL,,,,,
CORE_ACTIVE_25,2021-10-29,2021-11-01,2021-12-01,GLOBAL_OIL_GAS,GLOBAL_OIL_GAS,0.25,0.25759928758862843,0.007599287588628434,0.0183514774494562,-0.039911093106563045,0.00044275402930794546,0.0,0.00044275402930794546,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED",REBALANCE_DETAIL,,,,,
CORE_ACTIVE_25,2021-11-30,2021-12-01,2022-01-04,GLOBAL_OIL_GAS,GLOBAL_SEMICONDUCTORS,0.25,0.23985271425893243,0.0,0.0,0.0,0.0,0.0,0.0,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED",REBALANCE_DETAIL,,,,,
CORE_ACTIVE_25,2021-12-31,2022-01-04,2022-02-01,GLOBAL_SEMICONDUCTORS,GLOBAL_SEMICONDUCTORS,0.25,0.2421392148405138,0.0,0.0,0.0,0.0,0.0,0.0,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED",REBALANCE_DETAIL,,,,,
CORE_ACTIVE_25,2022-01-31,2022-02-01,2022-03-01,GLOBAL_SEMICONDUCTORS,GLOBAL_OIL_GAS,0.25,0.23938929426840885,0.0,0.0,0.0,0.0,0.0,0.0,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED",REBALANCE_DETAIL,,,,,
CORE_ACTIVE_25,2022-02-28,2022-03-01,2022-04-01,GLOBAL_OIL_GAS,GLOBAL_OIL_GAS,0.25,0.2661259404848806,0.016125940484880585,0.061770987350090234,0.11297321562172713,0.0,0.0008256840858016868,-0.0008256840858016868,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED",REBALANCE_DETAIL,,,,,
CORE_ACTIVE_25,2022-03-31,2022-04-01,2022-05-03,GLOBAL_OIL_GAS,GLOBAL_OIL_GAS,0.25,0.2589341820475356,0.0089341820475356,-0.029862293052761557,0.043022317827372314,0.0,0.0006511643820669099,-0.0006511643820669099,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED",REBALANCE_DETAIL,,,,,
CORE_ACTIVE_25,2022-04-29,2022-05-03,2022-06-01,GLOBAL_OIL_GAS,GLOBAL_OIL_GAS,0.25,0.2638268245449084,0.013826824544908412,-0.014673046251993838,0.13392626965712773,0.0,0.002054656668568841,-0.002054656668568841,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED",REBALANCE_DETAIL,,,,,
CORE_ACTIVE_25,2022-05-31,2022-06-01,2022-07-01,GLOBAL_OIL_GAS,GLOBAL_OIL_GAS,0.25,0.2772498820547265,0.027249882054726504,-0.04532211071544212,-0.18324428782539526,0.0037583630589773224,0.0,0.0037583630589773224,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED",REBALANCE_DETAIL,,,,,
CORE_ACTIVE_25,2022-06-30,2022-07-01,2022-08-01,GLOBAL_OIL_GAS,GLOBAL_OIL_GAS,0.25,0.22189688891363024,0.0,0.0,0.0,0.0,0.0,0.0,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED",REBALANCE_DETAIL,,,,,
CORE_ACTIVE_25,2022-07-29,2022-08-01,2022-09-01,GLOBAL_OIL_GAS,GLOBAL_OIL_GAS,0.25,0.24935167499598876,0.0,0.0,0.0,0.0,0.0,0.0,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED",REBALANCE_DETAIL,,,,,
