analysis_context_id,analysis_context_type,signal_id,top_tail_definition,forward_horizon_sessions,advantage_vs_global_observation_count,advantage_vs_global_mean,advantage_vs_global_median,advantage_vs_global_positive_frequency,advantage_vs_global_hac_p_value,advantage_vs_global_ci_low,advantage_vs_global_ci_high,peak_predictive_horizon,half_life_or_reversal_horizon_sessions,warning
ALL_EQUITY_OPPORTUNITIES,ALL_EQUITY,MH_LEVEL_EQ,RANK_1,5,172,0.0012829284305248421,9.617988986720949e-05,0.5058139534883721,0.44766730276617017,-0.002028623421639855,0.004594480282689539,YES,10.0,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
ALL_EQUITY_OPPORTUNITIES,ALL_EQUITY,MH_LEVEL_EQ,RANK_1,10,170,-0.0007274460347862342,0.00021825099259520364,0.5058823529411764,0.8136447767040063,-0.006775841217076865,0.005320949147504396,NO,10.0,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
ALL_EQUITY_OPPORTUNITIES,ALL_EQUITY,MH_LEVEL_EQ,RANK_1,21,167,-0.004202854642039963,-0.0037583346238706516,0.437125748502994,0.4751710353633024,-0.015738423714613085,0.007332714430533161,NO,10.0,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
ALL_EQUITY_OPPORTUNITIES,ALL_EQUITY,MH_LEVEL_EQ,RANK_1,42,163,-0.011158033172587378,-0.008899304399326513,0.39263803680981596,0.23499871402492567,-0.029573073402972598,0.007257007057797844,NO,10.0,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
ALL_EQUITY_OPPORTUNITIES,ALL_EQUITY,MH_LEVEL_EQ,RANK_1,63,159,-0.02122697544260199,-0.020739938410869962,0.3270440251572327,0.09159877975426695,-0.045888220822158904,0.0034342699369549236,NO,10.0,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
ALL_EQUITY_OPPORTUNITIES,ALL_EQUITY,MH_LEVEL_EQ,RANK_1,126,146,-0.05410070702545015,-0.038218586331051796,0.2602739726027397,0.0023997179527327785,-0.08903010210929638,-0.01917131194160391,NO,10.0,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
ALL_EQUITY_OPPORTUNITIES,ALL_EQUITY,MH_LEVEL_EQ,TOP_3,5,172,-0.000728967653391118,-0.0007855378722966821,0.46511627906976744,0.4780248565943588,-0.0027427587362847975,0.0012848234295025618,NO,,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
ALL_EQUITY_OPPORTUNITIES,ALL_EQUITY,MH_LEVEL_EQ,TOP_3,10,168,-0.0014206922231652052,-0.002572959329582125,0.42857142857142855,0.380132641711603,-0.004593368672108101,0.0017519842257776909,NO,,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
ALL_EQUITY_OPPORTUNITIES,ALL_EQUITY,MH_LEVEL_EQ,TOP_3,21,162,-0.0023447000740322846,-0.002740379200184384,0.4567901234567901,0.46193022822228025,-0.008591405967266087,0.0039020058192015174,NO,,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
ALL_EQUITY_OPPORTUNITIES,ALL_EQUITY,MH_LEVEL_EQ,TOP_3,42,157,-0.006662596520865149,-0.007570051450172199,0.37579617834394907,0.20425919851458374,-0.016948808070774063,0.0036236150290437624,NO,,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
