signal_date,selected_family,portfolio_decision_changed_by_diagnostic,RS21,RS42,RS63,short_1_2_3_composite,relative_segment_latest_month,recent_positive_segments,relative_line_slope_change_rank,rotation_state,candidate_net_next_interval_return,selected_minus_unselected_next_interval,warning
2021-08-31,GLOBAL_CYBERSECURITY,NO,0.0264060436222886,0.06651460787902641,0.1040176430832962,0.9791666666666666,0.0264060436222886,3.0,0.2857142857142857,LEADING,-0.036966163537348606,-0.02538599202907843,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
2021-09-30,GLOBAL_OIL_GAS,NO,0.24913823393435153,0.2129192111399718,0.048679711310162466,0.9583333333333334,0.24913823393435153,1.0,1.0,LEADING,0.09438725966207095,0.03552907181333209,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
2021-10-29,GLOBAL_OIL_GAS,NO,0.037213413369353354,0.29562293138921447,0.25805607512775364,0.9583333333333334,0.037213413369353354,2.0,0.07142857142857142,LEADING,-0.039911093106563045,-0.036971656407804865,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
2021-11-30,GLOBAL_SEMICONDUCTORS,NO,0.13331445449438784,0.14648279903171035,0.13198657507867595,0.9791666666666666,0.13331445449438784,2.0,1.0,LEADING,-0.02904684860240847,-0.020665641114756217,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
2021-12-31,GLOBAL_SEMICONDUCTORS,NO,-0.019376900640377337,0.11135433291534658,0.12426751574897144,0.8627450980392157,-0.019376900640377337,2.0,0.07692307692307693,LEADING,-0.10710640312559805,-0.05612646192496051,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
2022-01-31,GLOBAL_OIL_GAS,NO,0.22068397163080222,0.1987828890555532,0.147742033468359,1.0,0.22068397163080222,1.0,1.0,LEADING,0.051447451227186525,0.07080057136229934,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
2022-02-28,GLOBAL_OIL_GAS,NO,0.040548832632564036,0.28903543301686674,0.3015372022656313,0.8947368421052632,0.040548832632564036,3.0,0.13333333333333333,WEAKENING,0.11297321562172713,0.051789340423274544,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
2022-03-31,GLOBAL_OIL_GAS,NO,0.051320848552239395,0.13042815957774523,0.41039842471771815,0.9166666666666666,0.051320848552239395,3.0,0.125,WEAKENING,0.043022317827372314,0.09392357150704667,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
2022-04-29,GLOBAL_OIL_GAS,NO,0.0945863605208137,0.14657939855507207,0.1930718546870276,0.9607843137254902,0.0945863605208137,3.0,0.9411764705882353,WEAKENING,0.13392626965712773,0.15250169880814546,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
2022-05-31,GLOBAL_OIL_GAS,NO,0.17973748534659273,0.2913245604555039,0.35266269640156933,1.0,0.17973748534659273,3.0,0.6875,LEADING,-0.18324428782539526,-0.13798321133522562,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
2022-06-30,GLOBAL_OIL_GAS,NO,-0.11042026018221152,0.06859251553542456,0.09334246780970057,0.6123642439431913,-0.11042026018221152,2.0,0.0625,WEAKENING,0.0595685455810715,0.019421646370376022,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
2022-07-29,GLOBAL_OIL_GAS,NO,-0.000317804807851485,-0.11070297290049302,0.06825291169635328,0.5488721804511277,-0.000317804807851485,1.0,1.0,WEAKENING,0.12287353998604633,0.10250911936618978,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
2022-08-31,GLOBAL_INFRASTRUCTURE,NO,0.023871947996210174,-0.010840204572498902,0.03204046043344855,0.5333333333333333,0.023871947996210174,2.0,0.7222222222222222,WEAKENING,-0.0803314496560561,-0.04238656869966828,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
2022-09-30,GLOBAL_OIL_GAS,NO,-0.03571971424228637,0.09829677306361795,0.094502435629783,0.7666666666666666,-0.03571971424228637,1.0,0.05263157894736842,LEADING,0.13851271085768646,0.1198927932344731,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
2022-10-31,GLOBAL_OIL_GAS,NO,0.13078406169665824,0.09039277814312174,0.24193648599321094,0.9682539682539683,0.13078406169665824,2.0,1.0,LEADING,-0.07157597426038764,-0.10983016879939744,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
2022-11-30,EUROPE_BANKS,NO,0.08046014894253828,0.15338057804817606,0.2427462171635275,0.9696969696969697,0.08046014894253828,3.0,0.3157894736842105,WEAKENING,0.10234172353233029,0.15002680698203075,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
2022-12-30,EUROPE_BANKS,NO,0.07073270698389655,0.1699762992796483,0.25617640901316086,0.9393939393939394,0.07073270698389655,3.0,0.8421052631578947,LEADING,0.13579712653626452,0.07155428959658772,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
2023-01-31,EUROPE_BANKS,NO,0.10380021047562127,0.18187498733195673,0.2914200853963642,0.9206349206349206,0.10380021047562127,3.0,0.1111111111111111,WEAKENING,0.030861845614569727,0.05825971390168849,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
2023-02-28,EUROPE_BANKS,NO,0.07480301420463253,0.16583545380209386,0.2609286339587371,1.0,0.07480301420463253,3.0,0.8947368421052632,LEADING,-0.12690185472438387,-0.10530130305705732,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
2023-03-31,GLOBAL_SEMICONDUCTORS,NO,0.07952363435485732,0.08549231647427935,0.20652272359495294,0.9696969696969697,0.07952363435485732,3.0,0.8,LEADING,-0.06454682023034519,-0.021174503547788714,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
2023-04-28,GLOBAL_SEMICONDUCTORS,NO,-0.06145738348418517,-0.018071924610167822,0.005192982945477764,0.6190476190476191,-0.06145738348418517,2.0,0.1,WEAKENING,0.18007601306139942,0.17995480488103066,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
2023-05-31,GLOBAL_SEMICONDUCTORS,NO,0.19998278930775815,0.09951652214105966,0.1736716028555676,1.0,0.19998278930775815,2.0,1.0,LEADING,0.027784078022227376,0.0024961337479756374,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
2023-06-30,GLOBAL_SEMICONDUCTORS,NO,-0.01105745941566516,0.1749572064165612,0.1027474108043116,0.8030303030303031,-0.01105745941566516,1.0,0.05,LEADING,0.03696347787708332,0.010217832010520622,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
2023-07-31,GLOBAL_SEMICONDUCTORS,NO,0.011497916165550848,0.00031331900852027417,0.18846676587404865,0.6594202898550724,0.011497916165550848,2.0,0.2,WEAKENING,-0.017515282607731053,-0.0056668127826701165,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
2023-08-31,GLOBAL_SEMICONDUCTORS,NO,-0.006534583734222665,0.010014367633865984,0.012000905995275035,0.6515151515151515,-0.006534583734222665,2.0,0.75,WEAKENING,-0.025782387747128266,0.006909498703594585,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
2023-09-29,GLOBAL_URANIUM_NUCLEAR,NO,0.31114194349447355,0.4859901032164844,0.4924383441591138,1.0,0.31114194349447355,3.0,1.0,LEADING,0.02372136805773528,0.06699923752720038,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
