episode_id,module_id,family,entry_date,initial_weight,entry_level,exit_date,xlon_observations,underlying_economic_return_at_exit_or_cutoff,initial_family_value,family_market_pnl,position_return_at_exit_or_cutoff,mfe,mae,capture_ratio,giveback_ratio,profitable_episode_ended_negative,mfe_ge_10_retained_lt_25pct,surrendered_more_than_50pct_mfe,warning,retained_mfe_fraction
A4_BASELINE_MONTHLY-EP-001,A4_BASELINE_MONTHLY,GLOBAL_CYBERSECURITY,2021-09-01,1.0,142.588339554278,2021-10-01,23,-0.033066444837266507,0.99798404,-0.03299978420713234,-0.03306644483726648,0.021940314027243835,-0.033066444837266507,-1.507109004739269,2.5071090047392692,True,False,True,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED",-1.507109004739269
A4_BASELINE_MONTHLY-EP-002,A4_BASELINE_MONTHLY,GLOBAL_OIL_GAS,2021-10-01,1.0,77.89273826469918,2021-12-01,44,0.054962128568654345,0.9610923987696961,0.05282368398753656,0.05496212856865446,0.12390755486502303,0.0,0.4435736677115991,0.5564263322884009,False,False,True,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED",0.4435736677115991
A4_BASELINE_MONTHLY-EP-003,A4_BASELINE_MONTHLY,GLOBAL_SEMICONDUCTORS,2021-12-01,1.0,493.5255024808578,2022-02-01,42,-0.1295286535384509,1.0098284984262038,-0.13080172570590176,-0.1295286535384508,0.0030034593415630972,-0.1775169615002996,-43.12648809523751,44.12648809523751,True,False,True,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED",-43.12648809523751
A4_BASELINE_MONTHLY-EP-004,A4_BASELINE_MONTHLY,GLOBAL_OIL_GAS,2022-02-01,1.0,96.15192161787301,2022-09-01,147,0.350377595972307,0.8754787456294209,0.30674813821848734,0.350377595972307,0.47388294524858243,-0.01982378854625544,0.7393758300132771,0.2606241699867229,False,False,False,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED",0.7393758300132771
A4_BASELINE_MONTHLY-EP-005,A4_BASELINE_MONTHLY,GLOBAL_INFRASTRUCTURE,2022-09-01,1.0,201.85540207525662,2022-10-03,22,-0.07661078372924779,1.1774660563125166,-0.09020659738868853,-0.0766107837292478,0.02030008236658576,-0.07802294893013717,-3.7739149204315696,4.77391492043157,True,False,True,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED",-3.7739149204315696
A4_BASELINE_MONTHLY-EP-006,A4_BASELINE_MONTHLY,GLOBAL_OIL_GAS,2022-10-03,1.0,127.34532350208517,2022-12-01,44,0.061297220242338524,1.0828785010881328,0.06637744197689255,0.06129722024233839,0.18460441910192538,0.0,0.3320463320463333,0.6679536679536667,False,False,True,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED",0.3320463320463333
A4_BASELINE_MONTHLY-EP-007,A4_BASELINE_MONTHLY,EUROPE_BANKS,2022-12-01,1.0,93.77808761172199,2023-04-03,85,0.13144110259389885,1.1446269992927651,0.1504510348457868,0.13144110259389874,0.3216842561964146,-0.006667936749857106,0.4086028459958052,0.5913971540041948,False,False,True,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED",0.4086028459958052
A4_BASELINE_MONTHLY-EP-008,A4_BASELINE_MONTHLY,GLOBAL_SEMICONDUCTORS,2023-04-03,1.0,440.4941532900711,2023-10-02,125,0.1306530798391521,1.2898658020019977,0.1685249396107591,0.1306530798391522,0.17651477215823874,-0.08482724086129156,0.7401821289043543,0.2598178710956457,False,False,False,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED",0.7401821289043543
A4_BASELINE_MONTHLY-EP-009,A4_BASELINE_MONTHLY,GLOBAL_URANIUM_NUCLEAR,2023-10-02,1.0,132.85562406746536,2024-01-02,64,0.04060244744273622,1.4525252586463058,0.05897608047343361,0.04060244744273632,0.05723250705993177,-0.07969877627863153,0.7094298245613971,0.29057017543860286,False,False,False,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED",0.7094298245613971
A4_BASELINE_MONTHLY-EP-010,A4_BASELINE_MONTHLY,GLOBAL_AI,2024-01-02,1.0,125.27790643816589,2024-02-01,23,-0.06525556890655348,1.5054234137632605,-0.09823726131036747,-0.06525556890655351,0.0,-0.08235511599963019,,,False,False,False,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED",
