record_type,economic_exposure_family_id,listing_id,isin,ticker,geography,sector_or_industry,index_or_exposure_objective,hedged_or_unhedged,breadth_level,fingerprint,semantic_match,mismatch_reasons,semantic_valid_from,historical_objective_lineage,semantic_tolerance_basis,source_url,warning
INTENDED_ECONOMIC_FAMILY,AUSTRALIA,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,AUSTRALIA,BROAD_MARKET,MSCI_AUSTRALIA,UNHEDGED,BROAD_COUNTRY,AUSTRALIA × BROAD_MARKET × MSCI_AUSTRALIA × UNHEDGED × BROAD_COUNTRY,REFERENCE,NOT_APPLICABLE,NOT_APPLICABLE,DEFINED_BY_INTENDED_FINGERPRINT_AND_ALLOWED_EQUIVALENTS,EXPLICIT_ALLOWED_OBJECTIVES_ONLY,FROZEN_A2R_DEFINITION,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
INTENDED_ECONOMIC_FAMILY,CHINA_BROAD,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,CHINA,BROAD_MARKET,MSCI_CHINA,UNHEDGED,BROAD_COUNTRY,CHINA × BROAD_MARKET × MSCI_CHINA × UNHEDGED × BROAD_COUNTRY,REFERENCE,NOT_APPLICABLE,NOT_APPLICABLE,DEFINED_BY_INTENDED_FINGERPRINT_AND_ALLOWED_EQUIVALENTS,EXPLICIT_ALLOWED_OBJECTIVES_ONLY,FROZEN_A2R_DEFINITION,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
INTENDED_ECONOMIC_FAMILY,EUROPE_ENERGY,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,EUROPE,ENERGY,MSCI_EUROPE_ENERGY_35_20_CAPPED,UNHEDGED,BROAD_SECTOR,EUROPE × ENERGY × MSCI_EUROPE_ENERGY_35_20_CAPPED × UNHEDGED × BROAD_SECTOR,REFERENCE,NOT_APPLICABLE,NOT_APPLICABLE,DEFINED_BY_INTENDED_FINGERPRINT_AND_ALLOWED_EQUIVALENTS,EXPLICIT_ALLOWED_OBJECTIVES_ONLY,FROZEN_A2R_DEFINITION,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
INTENDED_ECONOMIC_FAMILY,EUROPE_FINANCIALS,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,EUROPE,FINANCIALS,MSCI_EUROPE_FINANCIALS_35_20_CAPPED,UNHEDGED,BROAD_SECTOR,EUROPE × FINANCIALS × MSCI_EUROPE_FINANCIALS_35_20_CAPPED × UNHEDGED × BROAD_SECTOR,REFERENCE,NOT_APPLICABLE,NOT_APPLICABLE,DEFINED_BY_INTENDED_FINGERPRINT_AND_ALLOWED_EQUIVALENTS,EXPLICIT_ALLOWED_OBJECTIVES_ONLY,FROZEN_A2R_DEFINITION,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
INTENDED_ECONOMIC_FAMILY,EUROPE_HEALTHCARE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,EUROPE,HEALTHCARE,MSCI_EUROPE_HEALTH_CARE_35_20_CAPPED,UNHEDGED,BROAD_SECTOR,EUROPE × HEALTHCARE × MSCI_EUROPE_HEALTH_CARE_35_20_CAPPED × UNHEDGED × BROAD_SECTOR,REFERENCE,NOT_APPLICABLE,NOT_APPLICABLE,DEFINED_BY_INTENDED_FINGERPRINT_AND_ALLOWED_EQUIVALENTS,EXPLICIT_ALLOWED_OBJECTIVES_ONLY,FROZEN_A2R_DEFINITION,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
INTENDED_ECONOMIC_FAMILY,EUROPE_INDUSTRIALS,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,EUROPE,INDUSTRIALS,MSCI_EUROPE_INDUSTRIALS_35_20_CAPPED,UNHEDGED,BROAD_SECTOR,EUROPE × INDUSTRIALS × MSCI_EUROPE_INDUSTRIALS_35_20_CAPPED × UNHEDGED × BROAD_SECTOR,REFERENCE,NOT_APPLICABLE,NOT_APPLICABLE,DEFINED_BY_INTENDED_FINGERPRINT_AND_ALLOWED_EQUIVALENTS,EXPLICIT_ALLOWED_OBJECTIVES_ONLY,FROZEN_A2R_DEFINITION,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
INTENDED_ECONOMIC_FAMILY,EUROPE_MATERIALS,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,EUROPE,MATERIALS,MSCI_EUROPE_MATERIALS_35_20_CAPPED,UNHEDGED,BROAD_SECTOR,EUROPE × MATERIALS × MSCI_EUROPE_MATERIALS_35_20_CAPPED × UNHEDGED × BROAD_SECTOR,REFERENCE,NOT_APPLICABLE,NOT_APPLICABLE,DEFINED_BY_INTENDED_FINGERPRINT_AND_ALLOWED_EQUIVALENTS,EXPLICIT_ALLOWED_OBJECTIVES_ONLY,FROZEN_A2R_DEFINITION,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
INTENDED_ECONOMIC_FAMILY,EUROPE_TECHNOLOGY,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,EUROPE,TECHNOLOGY,MSCI_EUROPE_INFORMATION_TECHNOLOGY_35_20_CAPPED,UNHEDGED,BROAD_SECTOR,EUROPE × TECHNOLOGY × MSCI_EUROPE_INFORMATION_TECHNOLOGY_35_20_CAPPED × UNHEDGED × BROAD_SECTOR,REFERENCE,NOT_APPLICABLE,NOT_APPLICABLE,DEFINED_BY_INTENDED_FINGERPRINT_AND_ALLOWED_EQUIVALENTS,EXPLICIT_ALLOWED_OBJECTIVES_ONLY,FROZEN_A2R_DEFINITION,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
INTENDED_ECONOMIC_FAMILY,EUROPE_UTILITIES,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,EUROPE,UTILITIES,MSCI_EUROPE_UTILITIES_35_20_CAPPED,UNHEDGED,BROAD_SECTOR,EUROPE × UTILITIES × MSCI_EUROPE_UTILITIES_35_20_CAPPED × UNHEDGED × BROAD_SECTOR,REFERENCE,NOT_APPLICABLE,NOT_APPLICABLE,DEFINED_BY_INTENDED_FINGERPRINT_AND_ALLOWED_EQUIVALENTS,EXPLICIT_ALLOWED_OBJECTIVES_ONLY,FROZEN_A2R_DEFINITION,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
INTENDED_ECONOMIC_FAMILY,GLOBAL_BANKS,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,GLOBAL,BANKS,GLOBAL_DEVELOPED_BANKS,UNHEDGED,INDUSTRY,GLOBAL × BANKS × GLOBAL_DEVELOPED_BANKS × UNHEDGED × INDUSTRY,REFERENCE,NOT_APPLICABLE,NOT_APPLICABLE,DEFINED_BY_INTENDED_FINGERPRINT_AND_ALLOWED_EQUIVALENTS,EXPLICIT_ALLOWED_OBJECTIVES_ONLY,FROZEN_A2R_DEFINITION,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
