window_id,age_bucket,observation_count,mean_forward_return_42,median_forward_return_42,positive_frequency,warning
FULL_HISTORY,LONG_ESTABLISHED,697,0.023407842136629883,0.020965212846274284,0.5882352941176471,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
FULL_HISTORY,NEW_ENTRY,448,0.020664231742225647,0.013322828198193748,0.5625,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
FULL_HISTORY,NOT_TOP_QUINTILE,8182,0.01860177203045364,0.01553774599193447,0.5811537521388414,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
FULL_HISTORY,ONE_PRIOR_REVIEW,290,0.026484933838379184,0.01787163138719472,0.5827586206896552,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
FULL_HISTORY,SEVERAL_REVIEWS,555,0.019421300032875784,0.023201438848921008,0.6072072072072072,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
LATEST_3Y,LONG_ESTABLISHED,283,0.02742414074487304,0.03345070532187733,0.6007067137809188,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
LATEST_3Y,NEW_ENTRY,147,0.05247231039286707,0.05240464344941964,0.673469387755102,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
LATEST_3Y,NOT_TOP_QUINTILE,2722,0.03593894506225532,0.02505710755717816,0.618295371050698,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
LATEST_3Y,ONE_PRIOR_REVIEW,100,0.05604136806875628,0.04285479748508714,0.66,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
LATEST_3Y,SEVERAL_REVIEWS,209,0.04343540510423104,0.0373963624594813,0.6650717703349283,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
LATEST_5Y,LONG_ESTABLISHED,430,0.0216152684409296,0.019942833139201865,0.5604651162790698,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
LATEST_5Y,NEW_ENTRY,233,0.02811418884531811,0.0184095785175451,0.5836909871244635,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
LATEST_5Y,NOT_TOP_QUINTILE,4372,0.021685932749331633,0.014392944194068003,0.5638151875571821,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
LATEST_5Y,ONE_PRIOR_REVIEW,158,0.0320009382916088,0.0167312284924499,0.5759493670886076,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
LATEST_5Y,SEVERAL_REVIEWS,317,0.022781681158122017,0.021636495308085202,0.5899053627760252,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
POST_2020,LONG_ESTABLISHED,518,0.029383480462221664,0.033633565221325545,0.5965250965250966,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
POST_2020,NEW_ENTRY,293,0.03123380815126731,0.02330762830642752,0.6075085324232082,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
POST_2020,NOT_TOP_QUINTILE,5340,0.02360112748712042,0.018457400977117233,0.5814606741573034,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
POST_2020,ONE_PRIOR_REVIEW,197,0.03416925468865199,0.018328012297504914,0.5888324873096447,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
POST_2020,SEVERAL_REVIEWS,383,0.02129048277646747,0.023627811548988076,0.6005221932114883,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
PRE_2020,LONG_ESTABLISHED,179,0.006115212792179943,0.01176922092874566,0.5642458100558659,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
PRE_2020,NEW_ENTRY,155,0.0006843227883597874,-0.0015908789606257079,0.4774193548387097,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
PRE_2020,NOT_TOP_QUINTILE,2842,0.009208190700896764,0.011872163599523256,0.5805770584095707,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
PRE_2020,ONE_PRIOR_REVIEW,93,0.01020739397274752,0.014736101728639373,0.5698924731182796,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
PRE_2020,SEVERAL_REVIEWS,172,0.015259108225924526,0.02185868535483515,0.622093023255814,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
