module_id,episode_count,average_capture_ratio,weighted_mfe_capture_ratio,average_giveback_ratio,round_trip_rate,episodes_surrendering_gt_50pct_mfe,warning
A4_BASELINE_MONTHLY,21,-2.2327615490236474,0.39166873508461036,3.232761549023647,0.2857142857142857,15,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
A4_BASELINE_WEEKLY_CONTROL,21,-2.2327615490236474,0.39166873508461036,3.232761549023647,0.2857142857142857,15,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
EXIT_FAST_TAPER_MONTHLY,21,-2.2362328856180738,0.3456981108151247,3.2362328856180733,0.2857142857142857,14,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
EXIT_FAST_TAPER_WEEKLY,27,-2.342207298558332,0.20813855185456992,3.342207298558332,0.4074074074074074,19,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
EXIT_MFE_GIVEBACK_LOCK_MONTHLY,21,-2.2534286678323006,0.24817246132533705,3.2534286678323006,0.2857142857142857,16,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
EXIT_MFE_GIVEBACK_LOCK_WEEKLY,21,-2.695433278312638,0.1753048953376151,3.695433278312638,0.38095238095238093,17,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
EXIT_STRENGTH_HARVEST_MONTHLY,21,-2.229377481759857,0.3800989609754303,3.229377481759857,0.2857142857142857,14,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
EXIT_STRENGTH_HARVEST_WEEKLY,21,-2.235767545566911,0.36593980517960045,3.235767545566911,0.2857142857142857,15,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
EXIT_STRENGTH_PLUS_DECELERATION_MONTHLY,21,-2.229377481759857,0.3800989609754303,3.229377481759857,0.2857142857142857,14,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
EXIT_STRENGTH_PLUS_DECELERATION_WEEKLY,21,-2.236129161165863,0.3650538840234803,3.236129161165862,0.2857142857142857,15,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
SCALE_IN_STARTER_A_MONTHLY,25,-2.37606024665278,0.3206087927163444,3.3760602466527785,0.36,16,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
SCALE_IN_STARTER_A_WEEKLY,37,-1.51117244966197,0.3227235564031138,2.51117244966197,0.2702702702702703,20,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
SCALE_IN_STARTER_B_MONTHLY,23,-2.4005725160861267,0.41083822608399767,3.4005725160861258,0.30434782608695654,15,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
SCALE_IN_STARTER_B_WEEKLY,26,-1.881425564592529,0.42724340616702416,2.8814255645925293,0.2692307692307692,15,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
