module_id,family,module_market_pnl_contribution,baseline_net_pnl_contribution,same_method_baseline_market_pnl_contribution,contribution_retention_ratio,warning
A4_BASELINE_MONTHLY,GLOBAL_SILVER_MINERS,1.0692558825132064,1.062612078238093,1.0692558825132064,1.0,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
A4_BASELINE_MONTHLY,EUROPE_BANKS,0.4175030683443961,0.3955619477559167,0.4175030683443961,1.0,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
A4_BASELINE_MONTHLY,GLOBAL_SEMICONDUCTORS,0.39177722612341626,0.3600458732670272,0.39177722612341626,1.0,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
A4_BASELINE_MONTHLY,GLOBAL_OIL_GAS,0.3613596786443306,0.338644584106517,0.3613596786443306,1.0,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
A4_BASELINE_MONTHLY,GLOBAL_GOLD_MINERS,0.11472535885061674,0.1036786387245885,0.11472535885061674,1.0,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
A4_BASELINE_WEEKLY_CONTROL,GLOBAL_SILVER_MINERS,1.0692558825132064,1.062612078238093,1.0692558825132064,1.0,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
A4_BASELINE_WEEKLY_CONTROL,EUROPE_BANKS,0.4175030683443961,0.3955619477559167,0.4175030683443961,1.0,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
A4_BASELINE_WEEKLY_CONTROL,GLOBAL_SEMICONDUCTORS,0.39177722612341626,0.3600458732670272,0.39177722612341626,1.0,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
A4_BASELINE_WEEKLY_CONTROL,GLOBAL_OIL_GAS,0.3613596786443306,0.338644584106517,0.3613596786443306,1.0,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
A4_BASELINE_WEEKLY_CONTROL,GLOBAL_GOLD_MINERS,0.11472535885061674,0.1036786387245885,0.11472535885061674,1.0,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
SCALE_IN_STARTER_A_WEEKLY,GLOBAL_SILVER_MINERS,0.9346052026382008,1.062612078238093,1.0692558825132064,0.8740706672022049,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
