analysis_context_id,record_type,transition,previous_state,current_state,forward_horizon_sessions,family_observation_count,date_observation_count,mean_forward_return,mean_forward_relative_global,median_forward_relative_global,positive_relative_frequency,relative_hac_t_statistic,relative_hac_p_value,relative_ci_low,relative_ci_high,transition_known_at_signal_date,warning
ALL_EQUITY_OPPORTUNITIES,TRANSITION,IMPROVING->IMPROVING,IMPROVING,IMPROVING,5,990,215,0.0037125238561989122,6.461901829230177e-05,-0.0008005987163822725,0.46511627906976744,0.07269353901770785,0.9420499900649163,-0.001677639651194057,0.0018068776877786608,YES,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
ALL_EQUITY_OPPORTUNITIES,TRANSITION,IMPROVING->IMPROVING,IMPROVING,IMPROVING,10,930,207,0.006102420876524685,-0.000448844710074906,-0.0007947834678369292,0.4782608695652174,-0.29488944624048,0.7680783343285471,-0.0034320625824457393,0.0025343731622959275,YES,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
ALL_EQUITY_OPPORTUNITIES,TRANSITION,IMPROVING->IMPROVING,IMPROVING,IMPROVING,21,811,193,0.01048674405863295,-0.0005456985877447519,-4.2019087571482094e-05,0.49740932642487046,-0.19030121949285808,0.8490730980964356,-0.006165996666991816,0.005074599491502312,YES,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
ALL_EQUITY_OPPORTUNITIES,TRANSITION,IMPROVING->IMPROVING,IMPROVING,IMPROVING,42,791,188,0.02018544642964649,-0.003477758176287984,-0.0006772939936795563,0.48936170212765956,-0.6563051686585991,0.51162779260502,-0.013863598632787395,0.006908082280211428,YES,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
ALL_EQUITY_OPPORTUNITIES,TRANSITION,IMPROVING->IMPROVING,IMPROVING,IMPROVING,63,767,181,0.026463723878912448,-0.009051574066605386,-0.0014838796273451693,0.4972375690607735,-1.1894112431858348,0.2342778786811872,-0.023967154590650828,0.005864006457440056,YES,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
ALL_EQUITY_OPPORTUNITIES,TRANSITION,IMPROVING->IMPROVING,IMPROVING,IMPROVING,126,693,168,0.061084756615538506,-0.015059073095701663,-0.006485739004917265,0.4583333333333333,-1.519046680679399,0.12875074633125325,-0.03448918099398597,0.004371034802582647,YES,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
ALL_EQUITY_OPPORTUNITIES,TRANSITION,IMPROVING->LAGGING,IMPROVING,LAGGING,5,360,161,0.0016944823002201337,-0.0019857559186778886,-0.0013266618714889767,0.4472049689440994,-1.0736840421418172,0.2829643159589307,-0.0056106678386986155,0.0016391560013428387,YES,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
ALL_EQUITY_OPPORTUNITIES,TRANSITION,IMPROVING->LAGGING,IMPROVING,LAGGING,10,333,153,0.004443128930519883,-0.00179678640600108,-0.002925926289175096,0.47058823529411764,-0.643619002716156,0.5198225247124277,-0.0072684033545552945,0.003674830542553135,YES,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
ALL_EQUITY_OPPORTUNITIES,TRANSITION,IMPROVING->LAGGING,IMPROVING,LAGGING,21,282,136,0.01255935864025214,0.001018677139784613,0.002185004425838466,0.5294117647058824,0.28092954149290505,0.7787644418591663,-0.006088338004446987,0.008125692284016214,YES,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
ALL_EQUITY_OPPORTUNITIES,TRANSITION,IMPROVING->LAGGING,IMPROVING,LAGGING,42,276,132,0.019881562710832232,-0.003974633251794129,-0.0022483057931208528,0.48484848484848486,-0.754281031739505,0.4506804896357859,-0.014302531869775257,0.006353265366186999,YES,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
