module_id,review_date,execution_date,execution_lag_xlon_sessions,same_close_execution,execution_status,target_weights_json,selected_families,selected_count,target_risky_weight,traded_notional_fraction,trade_legs,transaction_cost_rate,transaction_cost_value,pre_trade_portfolio_value,reason
A4_BASELINE_MONTHLY,2021-08-31,2021-09-01,1.0,False,EXECUTED,"{""GLOBAL_CYBERSECURITY"": 1.0}",GLOBAL_CYBERSECURITY,1,1.0,1.0,1,0.0020159600000000002,0.0020159600000000002,1.0,NONE|NONE|REGIME_CONTROL
A4_BASELINE_MONTHLY,2021-09-30,2021-10-01,1.0,False,EXECUTED,"{""GLOBAL_OIL_GAS"": 1.0}",GLOBAL_OIL_GAS,1,1.0,2.0,2,0.0040330782598870215,0.0038918570231714707,0.9649842557928676,NONE|NONE|REGIME_CONTROL
A4_BASELINE_MONTHLY,2021-11-30,2021-12-01,1.0,False,EXECUTED,"{""GLOBAL_SEMICONDUCTORS"": 1.0}",GLOBAL_SEMICONDUCTORS,1,1.0,2.0,2,0.004031481895339107,0.004087584331028931,1.0139160827572327,NONE|NONE|REGIME_CONTROL
A4_BASELINE_MONTHLY,2022-01-31,2022-02-01,1.0,False,EXECUTED,"{""GLOBAL_OIL_GAS"": 1.0}",GLOBAL_OIL_GAS,1,1.0,2.0,2,0.0040363128871504315,0.0035480270908812084,0.879026772720302,NONE|NONE|REGIME_CONTROL
A4_BASELINE_MONTHLY,2022-08-31,2022-09-01,1.0,False,EXECUTED,"{""GLOBAL_INFRASTRUCTURE"": 1.0}",GLOBAL_INFRASTRUCTURE,1,1.0,2.0,2,0.0040269998935366005,0.004760827535391633,1.1822268838479082,NONE|NONE|REGIME_CONTROL
A4_BASELINE_MONTHLY,2022-09-30,2022-10-03,1.0,False,EXECUTED,"{""GLOBAL_OIL_GAS"": 1.0}",GLOBAL_OIL_GAS,1,1.0,2.0,2,0.00402935821779982,0.004380957835695313,1.087259458923828,NONE|NONE|REGIME_CONTROL
A4_BASELINE_MONTHLY,2022-11-30,2022-12-01,1.0,False,EXECUTED,"{""EUROPE_BANKS"": 1.0}",EUROPE_BANKS,1,1.0,2.0,2,0.004027774492002948,0.004628943772260102,1.1492559430650253,NONE|NONE|REGIME_CONTROL
A4_BASELINE_MONTHLY,2023-03-31,2023-04-03,1.0,False,EXECUTED,"{""GLOBAL_SEMICONDUCTORS"": 1.0}",GLOBAL_SEMICONDUCTORS,1,1.0,2.0,2,0.0040246471634593295,0.005212232136554208,1.295078034138552,NONE|NONE|REGIME_CONTROL
A4_BASELINE_MONTHLY,2023-09-29,2023-10-02,1.0,False,EXECUTED,"{""GLOBAL_URANIUM_NUCLEAR"": 1.0}",GLOBAL_URANIUM_NUCLEAR,1,1.0,2.0,2,0.004021887138397973,0.005865482966451028,1.4583907416127568,NONE|NONE|REGIME_CONTROL
A4_BASELINE_MONTHLY,2023-12-29,2024-01-02,1.0,False,EXECUTED,"{""GLOBAL_AI"": 1.0}",GLOBAL_AI,1,1.0,2.0,2,0.004021118075898358,0.006077925356478958,1.5115013391197394,NONE|NONE|REGIME_CONTROL
A4_BASELINE_MONTHLY,2024-01-31,2024-02-01,1.0,False,EXECUTED,"{""GLOBAL_SEMICONDUCTORS"": 1.0}",GLOBAL_SEMICONDUCTORS,1,1.0,2.0,2,0.0040226835660259735,0.005660664609811573,1.407186152452893,NONE|NONE|REGIME_CONTROL
A4_BASELINE_MONTHLY,2024-04-30,2024-05-01,1.0,False,EXECUTED,"{""EUROPE_BANKS"": 1.0}",EUROPE_BANKS,1,1.0,2.0,2,0.004020919005936254,0.006135460502310643,1.5258851255776607,NONE|NONE|REGIME_CONTROL
A4_BASELINE_MONTHLY,2024-06-28,2024-07-01,1.0,False,EXECUTED,"{""GLOBAL_SEMICONDUCTORS"": 1.0}",GLOBAL_SEMICONDUCTORS,1,1.0,2.0,2,0.004020772342832122,0.0061785545434353845,1.536658635858846,NONE|NONE|REGIME_CONTROL
A4_BASELINE_MONTHLY,2024-07-31,2024-08-01,1.0,False,EXECUTED,"{""GLOBAL_GOLD_MINERS"": 1.0}",GLOBAL_GOLD_MINERS,1,1.0,2.0,2,0.004023105225384324,0.005557942701627968,1.3815056754069919,NONE|NONE|REGIME_CONTROL
A4_BASELINE_MONTHLY,2024-11-29,2024-12-02,1.0,False,EXECUTED,"{""GLOBAL_SOFTWARE"": 1.0}",GLOBAL_SOFTWARE,1,1.0,2.0,2,0.004022838395390484,0.005622505407467061,1.397646351866765,NONE|NONE|REGIME_CONTROL
A4_BASELINE_MONTHLY,2025-02-28,2025-03-03,1.0,False,EXECUTED,"{""EUROPE_BANKS"": 1.0}",EUROPE_BANKS,1,1.0,2.0,2,0.0040240639275403315,0.005337787040449141,1.326466760112285,NONE|NONE|REGIME_CONTROL
A4_BASELINE_MONTHLY,2025-03-31,2025-04-01,1.0,False,EXECUTED,"{""GLOBAL_GOLD_MINERS"": 1.0}",GLOBAL_GOLD_MINERS,1,1.0,2.0,2,0.004023398082462094,0.005488777424400221,1.364214356100055,NONE|NONE|REGIME_CONTROL
A4_BASELINE_MONTHLY,2025-06-30,2025-07-01,1.0,False,EXECUTED,"{""EUROPE_BANKS"": 1.0}",EUROPE_BANKS,1,1.0,2.0,2,0.004021987221646701,0.005838929273459483,1.4517523183648706,NONE|NONE|REGIME_CONTROL
A4_BASELINE_MONTHLY,2025-08-29,2025-09-01,1.0,False,EXECUTED,"{""GLOBAL_SILVER_MINERS"": 1.0}",GLOBAL_SILVER_MINERS,1,1.0,2.0,2,0.004019310682808013,0.006643804275113221,1.652971068778305,NONE|NONE|REGIME_CONTROL
A4_BASELINE_MONTHLY,2026-03-31,2026-04-01,1.0,False,EXECUTED,"{""GLOBAL_OIL_GAS"": 1.0}",GLOBAL_OIL_GAS,1,1.0,2.0,2,0.004011754381387685,0.010894252588065593,2.7155831470163982,NONE|NONE|REGIME_CONTROL
A4_BASELINE_MONTHLY,2026-04-30,2026-05-01,1.0,False,EXECUTED,"{""GLOBAL_SEMICONDUCTORS"": 1.0}",GLOBAL_SEMICONDUCTORS,1,1.0,2.0,2,0.004012090454284246,0.010592317235558988,2.640099308889747,NONE|NONE|REGIME_CONTROL
A4_BASELINE_MONTHLY,2026-08-21,,,False,CANCELLED_PANEL_END_NO_EXECUTION_SESSION,"{""GLOBAL_GENOMICS"": 1.0}",GLOBAL_GENOMICS,1,1.0,,0,0.0,0.0,,NONE|NONE|REGIME_CONTROL
REGIME_BINARY_WEEKLY,2021-08-31,2021-09-01,1.0,False,EXECUTED,"{""GLOBAL_CYBERSECURITY"": 1.0}",GLOBAL_CYBERSECURITY,1,1.0,1.0,1,0.0020159600000000002,0.0020159600000000002,1.0,NONE|NONE|REGIME_BINARY
REGIME_BINARY_WEEKLY,2021-09-30,2021-10-01,1.0,False,EXECUTED,"{""GLOBAL_OIL_GAS"": 1.0}",GLOBAL_OIL_GAS,1,1.0,2.0,2,0.0040330782598870215,0.0038918570231714707,0.9649842557928676,NONE|NONE|REGIME_BINARY
REGIME_BINARY_WEEKLY,2021-11-30,2021-12-01,1.0,False,EXECUTED,"{""GLOBAL_SEMICONDUCTORS"": 1.0}",GLOBAL_SEMICONDUCTORS,1,1.0,2.0,2,0.004031481895339107,0.004087584331028931,1.0139160827572327,NONE|NONE|REGIME_BINARY
REGIME_BINARY_WEEKLY,2021-12-24,2021-12-29,1.0,False,EXECUTED,{},,0,0.0,1.0,1,0.002015969972393272,0.0020147111070118314,0.9993755535059156,NONE|NONE|REGIME_BINARY
REGIME_BINARY_WEEKLY,2021-12-31,2022-01-04,1.0,False,EXECUTED,"{""GLOBAL_SEMICONDUCTORS"": 1.0}",GLOBAL_SEMICONDUCTORS,1,1.0,1.0,1,0.0020160017301240852,0.002010744298477584,0.9973921492387917,NONE|NONE|REGIME_BINARY
REGIME_BINARY_WEEKLY,2022-01-28,2022-01-31,1.0,False,EXECUTED,{},,0,0.0,1.0,1,0.002018154123656212,0.0017742382074461586,0.8791391037230792,NONE|NONE|REGIME_BINARY
REGIME_BINARY_WEEKLY,2022-02-04,2022-02-07,1.0,False,EXECUTED,"{""GLOBAL_OIL_GAS"": 1.0}",GLOBAL_OIL_GAS,1,1.0,1.0,1,0.0020181896582895944,0.0017708033011663794,0.8774216505831897,NONE|NONE|REGIME_BINARY
REGIME_BINARY_WEEKLY,2022-02-18,2022-02-21,1.0,False,EXECUTED,{},,0,0.0,1.0,1,0.0020187972932623807,0.0017140768274840105,0.8490584137420052,NONE|NONE|REGIME_BINARY
