grid_geography,conventional_sector,economic_exposure_family_id,audit_outcome,valid_return_observations,first_valid_date,A2R_new_family,proxy_used,synthetic_symmetry_created,warning
EUROPE,TECHNOLOGY,EUROPE_TECHNOLOGY,VALID_IMPLEMENTATION_FOUND,2906,2014-12-12,NO,NO,NO,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
EUROPE,FINANCIALS,EUROPE_FINANCIALS,VALID_IMPLEMENTATION_FOUND,2913,2014-12-12,NO,NO,NO,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
EUROPE,HEALTHCARE,EUROPE_HEALTHCARE,VALID_IMPLEMENTATION_FOUND,2831,2014-12-12,NO,NO,NO,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
EUROPE,INDUSTRIALS,EUROPE_INDUSTRIALS,VALID_IMPLEMENTATION_FOUND,2910,2014-12-12,NO,NO,NO,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
EUROPE,CONSUMER_DISCRETIONARY,EUROPE_CONSUMER_DISCRETIONARY,VALID_IMPLEMENTATION_FOUND,2849,2014-12-12,YES,NO,NO,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
EUROPE,CONSUMER_STAPLES,EUROPE_CONSUMER_STAPLES,VALID_IMPLEMENTATION_FOUND,2852,2014-12-12,NO,NO,NO,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
EUROPE,COMMUNICATION_SERVICES,EUROPE_COMMUNICATION_SERVICES,VALID_IMPLEMENTATION_FOUND,1044,2017-10-03,YES,NO,NO,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
EUROPE,ENERGY,EUROPE_ENERGY,VALID_IMPLEMENTATION_FOUND,1736,2016-02-11,NO,NO,NO,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
EUROPE,MATERIALS,EUROPE_MATERIALS,VALID_IMPLEMENTATION_FOUND,866,2017-01-04,NO,NO,NO,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
EUROPE,UTILITIES,EUROPE_UTILITIES,VALID_IMPLEMENTATION_FOUND,2898,2014-12-12,NO,NO,NO,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
EUROPE,REAL_ESTATE,EUROPE_REAL_ESTATE,VALID_IMPLEMENTATION_FOUND,3499,2010-09-03,YES,NO,NO,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
